Entity,Code,Year,"Average years of schooling gender ratio, 15-64 year olds"
Tanzania,TZA,2020,0.9656653
Thailand,THA,2015,1.002299
Thailand,THA,2020,1.0086207
Togo,TGO,2015,0.6817073
Togo,TGO,2020,0.7345332
Tonga,TON,2015,1.0143627
Tonga,TON,2020,1.0132275
Trinidad and Tobago,TTO,2015,1.0155821
Trinidad and Tobago,TTO,2020,1.0196956
Tunisia,TUN,2015,0.8925439
Tunisia,TUN,2020,0.92834884
Turkey,TUR,2015,0.870115
Turkey,TUR,2020,0.9047085
Uganda,UGA,2015,0.8984848
Uganda,UGA,2020,0.933526
Ukraine,UKR,2015,1.0234083
Ukraine,UKR,2020,1.0167754
United Arab Emirates,ARE,2015,1.1627648
United Arab Emirates,ARE,2020,1.1590414
United Kingdom,GBR,2015,0.9921383
United Kingdom,GBR,2020,0.996904
United States,USA,2015,1.012112
United States,USA,2020,1.0143614
Uruguay,URY,2015,1.0730538
Uruguay,URY,2020,1.072104
Venezuela,VEN,2015,1.077189
Venezuela,VEN,2020,1.0745273
Vietnam,VNM,2015,0.9358353
Vietnam,VNM,2020,0.95438594
World,OWID_WRL,2015,0.91643214
World,OWID_WRL,2020,0.95002514
Yemen,YEM,2015,0.69669116
Yemen,YEM,2020,0.76677316
Zambia,ZMB,2015,0.9505562
Zambia,ZMB,2020,0.97635937
Zimbabwe,ZWE,2015,0.98516685
Zimbabwe,ZWE,2020,1.0012033
